2026-04-26 12:27:30,260 | INFO     | ITS_App:16 | Application starting, connecting MCP clients...
2026-04-26 12:27:31,062 | ERROR    | ITS_App:12 | 百度地图MCP连接失败: unhandled errors in a TaskGroup (1 sub-exception)
2026-04-26 12:28:21,299 | INFO     | ITS_App:25 | Application starting with MCP disabled
2026-04-26 12:32:19,621 | INFO     | ITS_App:25 | Application starting with MCP disabled
2026-04-26 12:36:18,432 | INFO     | ITS_App:25 | Application starting with MCP disabled
2026-04-26 12:38:00,914 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:38:00,915 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 12:38:00,917 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:38:00,922 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 12:38:22,990 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:38:22,991 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:38:22,992 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 12:38:22,993 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 12:40:00,470 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:40:00,471 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 12:40:00,473 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:40:00,475 | WARNING  | ITS_App:93 | 用户目录不存在: 1
